Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
3865,Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG),Passiva:C. Verbindlichkeiten:10. Umsatzsteuer:Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG)
,D. Rechnungsabgrenzungsposten Fremdkapital,Passiva:D. Rechnungsabgrenzungsposten Fremdkapital
3900,Passive Rechnungsabgrenzung,Passiva:D. Rechnungsabgrenzungsposten Fremdkapital:Passive Rechnungsabgrenzung
3950,Abgrenzungen zur unterjährigen Kostenverrechnung für BWA,Passiva:D. Rechnungsabgrenzungsposten Fremdkapital:Abgrenzungen zur unterjährigen Kostenverrechnung für BWA
,01. Betriebliche Erträge,01. Betriebliche Erträge
,a) Umsatzerlöse,01. Betriebliche Erträge:a) Umsatzerlöse
,Steuerfreie Umsätze,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze
4100,Steuerfreie Umsätze §4 Nr. 8 ff UStG,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze §4 Nr. 8 ff UStG
4105,Steuerfreie Umsätze nach § 4 Nr. 12 UStG (Vermietung und Verpachtung),01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze nach § 4 Nr. 12 UStG (Vermietung und Verpachtung)
4110,Sonstige steuerfr. Umsätze Inland,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Sonstige steuerfr. Umsätze Inland
4120,Steuerfreie Umsätze §4 Nr. 1a UStG,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze §4 Nr. 1a UStG
4125,"Steuerfreie EG-Lieferungen (§4,1b UStG) an Abnehmer mit UStID","01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie EG-Lieferungen (§4,1b UStG) an Abnehmer mit UStID"
4130,"Innergemeinschaftl. Dreiecksgeschäft, Lieferung des ersten Abnehmers (§25b Abs. 2 UStG)","01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Innergemeinschaftl. Dreiecksgeschäft, Lieferung des ersten Abnehmers (§25b Abs. 2 UStG)"
4135,Steuerfr. EG-Lief.v.Neufahrzg.ohne UStID,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfr. EG-Lief.v.Neufahrzg.ohne UStID
4136,Umsatzerlöse nach §§ 25 und 25a UStG 19 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Umsatzerlöse nach §§ 25 und 25a UStG 19 % USt
4138,Umsatzerlöse nach §§ 25 und 25a UStG ohne USt,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Umsatzerlöse nach §§ 25 und 25a UStG ohne USt
4139,"Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei","01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei"
4140,Steuerfreie Umsätze Offshore usw.,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze Offshore usw.
4150,Steuerfreie Umsätze §4 Nr. 2-7 UStG,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze §4 Nr. 2-7 UStG
4160,"Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend, § 4 UStG","01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend, § 4 UStG"
4165,Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend,01. Betriebliche Erträge:a) Umsatzerlöse:Steuerfreie Umsätze:Steuerfreie Umsätze ohne Vorsteuerabzug zum Gesamtumsatz gehörend
4000,Umsatzerlöse,01. Betriebliche Erträge:a) Umsatzerlöse:Umsatzerlöse
4180,Erlöse die mit den Durchschnittssätzen des §24 UStG versteuert werden,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse die mit den Durchschnittssätzen des §24 UStG versteuert werden
4185,Erlöse Kleinunternehmer §19 UStG,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse Kleinunternehmer §19 UStG
4186,Erlöse Geldspielautomaten 16% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse Geldspielautomaten 16% USt
4200,Erlöse,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse
4300,Umsatzerlöse 7% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Umsatzerlöse 7% USt
4310,Erlöse aus im Inland steuerpflichtigen EG Lieferungen 7% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im Inland steuerpflichtigen EG Lieferungen 7% USt
4315,Erlöse aus im Inland steuerpflichtigen EG Lieferungen 19% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im Inland steuerpflichtigen EG Lieferungen 19% USt
4320,Erlöse aus im anderen EG-Land steuerpflichtigen Lieferungen,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im anderen EG-Land steuerpflichtigen Lieferungen
4331,Erlöse aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen
4333,Erlöse 5 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse 5 % USt
4334,Erlöse 7 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse 7 % USt
4335,"Erlöse aus Lieferungen von Mobilfunkgeräten, Tablet-Computern, Spielekonsolen und integrierten Schaltkreisen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet","01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus Lieferungen von Mobilfunkgeräten, Tablet-Computern, Spielekonsolen und integrierten Schaltkreisen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet"
4336,"Erlöse aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet","01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet"
4337,"Erlöse aus Leistungen, für die der Leistungsempfänger die Steuer nach §13b UStG schuldet.","01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus Leistungen, für die der Leistungsempfänger die Steuer nach §13b UStG schuldet."
4338,"Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze","01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze"
4339,"Erlöse aus im anderen EG-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze","01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im anderen EG-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze"
4340,Umsatzerlöse 16% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Umsatzerlöse 16% USt
4400,Umsatzerlöse 19% USt,01. Betriebliche Erträge:a) Umsatzerlöse:Umsatzerlöse 19% USt
4410,Erlöse 19 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Umsatzerlöse 19% USt:Erlöse 19 % USt
4449,Erlöse aus im Inland steuerpflichtigen elektronischen Dienstleistungen 19 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse aus im Inland steuerpflichtigen elektronischen Dienstleistungen 19 % USt
4499,Nebenerlöse (Bezug zu Materialaufwand),01. Betriebliche Erträge:a) Umsatzerlöse:Nebenerlöse (Bezug zu Materialaufwand)
4500,"Sonderbetriebseinnahmen, Tätigkeitsvergütung","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, Tätigkeitsvergütung"
4501,"Sonderbetriebseinnahmen, Miet-/Pachteinnahmen","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, Miet-/Pachteinnahmen"
4502,"Sonderbetriebseinnahmen, Zinseinnahmen","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, Zinseinnahmen"
4503,"Sonderbetriebseinnahmen, Haftungsvergütung","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, Haftungsvergütung"
4504,"Sonderbetriebseinnahmen, Pensionszahlungen","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, Pensionszahlungen"
4505,"Sonderbetriebseinnahmen, sonstige Sonderbetriebseinnahmen","01. Betriebliche Erträge:a) Umsatzerlöse:Sonderbetriebseinnahmen, sonstige Sonderbetriebseinnahmen"
4510,Erlöse Abfallverwertung,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse Abfallverwertung
4520,Erlöse Leergut,01. Betriebliche Erträge:a) Umsatzerlöse:Erlöse Leergut
4560,Provisionsumsätze,01. Betriebliche Erträge:a) Umsatzerlöse:Provisionsumsätze
4564,"Provisionsumsätze, steuerfrei § 4 Nr. 8 ff. UStG","01. Betriebliche Erträge:a) Umsatzerlöse:Provisionsumsätze, steuerfrei § 4 Nr. 8 ff. UStG"
4565,"Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG","01. Betriebliche Erträge:a) Umsatzerlöse:Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG"
4566,Provisionsumsätze 7 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Provisionsumsätze 7 % USt
4569,Provisionsumsätze 19 % USt,01. Betriebliche Erträge:a) Umsatzerlöse:Provisionsumsätze 19 % USt
4570,"Sonstige Erträge aus Provisionen, Lizenzen und Patenten","01. Betriebliche Erträge:a) Umsatzerlöse:Sonstige Erträge aus Provisionen, Lizenzen und Patenten"
4574,"Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 8 ff. UStG","01. Betriebliche Erträge:a) Umsatzerlöse:Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 8 ff. UStG"
4575,"Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 5 UStG","01. Betriebliche Erträge:a) Umsatzerlöse:Sonstige Erträge aus Provisionen, Lizenzen und Patenten, steuerfrei § 4 Nr. 5 UStG"
4576,"Sonstige Erträge aus Provisionen, Lizenzen und Patenten 7 % USt","01. Betriebliche Erträge:a) Umsatzerlöse:Sonstige Erträge aus Provisionen, Lizenzen und Patenten 7 % USt"
4579,"Sonstige Erträge aus Provisionen, Lizenzen und Patenten 19 % USt","01. Betriebliche Erträge:a) Umsatzerlöse:Sonstige Erträge aus Provisionen, Lizenzen und Patenten 19 % USt"
,b) Statistische Konten EÜR Umsatzerlöse,01. Betriebliche Erträge:b) Statistische Konten EÜR Umsatzerlöse
4580,Statistisches Konto Erlöse zum allgemeinen Umsatzsteuersatz (EÜR),01. Betriebliche Erträge:b) Statistische Konten EÜR Umsatzerlöse:Statistisches Konto Erlöse zum allgemeinen Umsatzsteuersatz (EÜR)
4581,Statistisches Konto Erlöse zum ermäßigten Umsatzsteuersatz (EÜR),01. Betriebliche Erträge:b) Statistische Konten EÜR Umsatzerlöse:Statistisches Konto Erlöse zum ermäßigten Umsatzsteuersatz (EÜR)
4582,Statistisches Konto Erlöse steuerfrei und nicht steuerbar (EÜR),01. Betriebliche Erträge:b) Statistische Konten EÜR Umsatzerlöse:Statistisches Konto Erlöse steuerfrei und nicht steuerbar (EÜR)
4589,Gegenkonto 4580 - 4582 bei Aufteilung der Erlöse nach Steuersätzen (EÜR),01. Betriebliche Erträge:b) Statistische Konten EÜR Umsatzerlöse:Gegenkonto 4580 - 4582 bei Aufteilung der Erlöse nach Steuersätzen (EÜR)
4600,Unentgeltliche Wertabgaben,01. Betriebliche Erträge:Unentgeltliche Wertabgaben
4605,Entnahme von Gegenständen ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Entnahme von Gegenständen ohne USt
4610,Entnahme Unternehmer (Waren) 7% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Entnahme Unternehmer (Waren) 7% USt
4616,Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt
4619,Entnahme Unternehmer (Waren) ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Entnahme Unternehmer (Waren) ohne USt
4620,Entnahme Unternehmer (Waren) 16% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Entnahme Unternehmer (Waren) 16% USt
4630,Verwendung von Gegenständen 7% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenständen 7% USt
4636,Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 7 % USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 7 % USt
4637,Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt
4638,Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Telefon-Nutzung),01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Telefon-Nutzung)
4639,Verwendung von Gegenst.(Kfz) ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenst.(Kfz) ohne USt
4640,Verwendung von Gegenständen 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenständen 19% USt
4645,Verwendung von Gegenst. (Kfz) 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenst. (Kfz) 19% USt
4646,Verwendung von Gegenst. (Tel) 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Verwendung von Gegenst. (Tel) 19% USt
4650,Unentgeltl. Erbringung Leist. 7% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Erbringung Leist. 7% USt
4656,Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt
4659,Unentgeltl. Erbringung Leist. ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Erbringung Leist. ohne USt
4660,Unentgeltl. Erbringung Leist. 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Erbringung Leist. 19% USt
4670,Unentgeltl. Zuwend. von Waren 7% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Zuwend. von Waren 7% USt
4676,Unentgeltliche Zuwendung von Waren 7 % USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltliche Zuwendung von Waren 7 % USt
4679,Unentgeltl. Zuwend. von Waren ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Zuwend. von Waren ohne USt
4680,Unentgeltl. Zuwend. von Waren 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Zuwend. von Waren 19% USt
4686,Unentgeltl. Zuwend. Gegenstände 19% USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Zuwend. Gegenstände 19% USt
4689,Unentgeltl. Zuwend. Gegenstände ohne USt,01. Betriebliche Erträge:Unentgeltliche Wertabgaben:Unentgeltl. Zuwend. Gegenstände ohne USt
4690,Nicht steuerbare Umsätze,01. Betriebliche Erträge:Nicht steuerbare Umsätze
4695,Umsatzsteuer-Vergütungen,01. Betriebliche Erträge:Umsatzsteuer-Vergütungen
4699,Direkt mit dem Umsatz verbundene Steuern,01. Betriebliche Erträge:Direkt mit dem Umsatz verbundene Steuern
4700,Erlösschmälerungen,01. Betriebliche Erträge:Erlösschmälerungen
4701,Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 8 ff. UStG,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 8 ff. UStG
4702,Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 2 bis 7 UStG,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 2 bis 7 UStG
4703,Erlösschmälerungen für sonstige steuerfreie Umsätze ohne Vorsteuerabzug,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen für sonstige steuerfreie Umsätze ohne Vorsteuerabzug
4704,Erlösschmälerungen für sonstige steuerfreie Umsätze mit Vorsteuerabzug,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen für sonstige steuerfreie Umsätze mit Vorsteuerabzug
4705,Erlösschmälerungen steuerfrei §4 Nr. 1a,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen steuerfrei §4 Nr. 1a
4706,Erlösschmälerungen für steuerfreie innergemeinschaftliche Dreiecksgeschäfte nach § 25b Abs. 2 und 4 UStG,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen für steuerfreie innergemeinschaftliche Dreiecksgeschäfte nach § 25b Abs. 2 und 4 UStG
4710,Erlösschmälerungen 7% USt,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen 7% USt
4720,Erlösschmälerungen 19% USt,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen 19% USt
4724,Erlösschmälerungen steuerfr. EG-Lief.,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerungen steuerfr. EG-Lief.
4725,Erlösschmälerung EG-Lieferung 7% USt,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerung EG-Lieferung 7% USt
4726,Erlösschmälerung EG-Lieferung 19% USt,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmälerung EG-Lieferung 19% USt
4727,Erlösschmäl.i.and.EG-Ld.stpfl.Liefer.,01. Betriebliche Erträge:Erlösschmälerungen:Erlösschmäl.i.and.EG-Ld.stpfl.Liefer.
4730,Gewährte Skonti,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti
4731,Gewährte Skonti 7% USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti:Gewährte Skonti 7% USt
4732,Gewährte Skonti 5 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti:Gewährte Skonti 5 % USt
4735,Gewährte Skonti 16% USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti:Gewährte Skonti 16% USt
4736,Gewährte Skonti 19 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti:Gewährte Skonti 19 % USt
4738,"Gewährte Skonti aus Lieferungen von Mobilfunkgeräten etc., für die der Leistungsempfänger die Umsatzsteuer nach § 13b Abs. 2 Nr. 10 UStG schuldet","01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti:Gewährte Skonti aus Lieferungen von Mobilfunkgeräten etc., für die der Leistungsempfänger die Umsatzsteuer nach § 13b Abs. 2 Nr. 10 UStG schuldet"
4741,"Gewährte Skonti aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet","01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet"
4742,"Gewährte Skonti aus Erlösen aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet","01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus Erlösen aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet"
4743,Gewährte Skonti aus steuerfreien innergemeinschaftlichen Lieferungen § 4 Nr. 1b UStG,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus steuerfreien innergemeinschaftlichen Lieferungen § 4 Nr. 1b UStG
4745,Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen
4746,Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt
4747,Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 5 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 5 % USt
4748,Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt
4749,Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 16 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 16 % USt
4750,Gewährte Boni 7 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Boni 7 % USt
4760,Gewährte Boni 19 % USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Boni 19 % USt
4769,Gewährte Boni,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Boni
4770,Gewährte Rabatte,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Rabatte
4780,Gewährte Rabatte 7% USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Rabatte:Gewährte Rabatte 7% USt
4790,Gewährte Rabatte 19% USt,01. Betriebliche Erträge:Erlösschmälerungen:Gewährte Rabatte:Gewährte Rabatte 19% USt
,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen
4800,Bestandsveränderungen fertige Erzeugnisse,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen:Bestandsveränderungen fertige Erzeugnisse
4810,Bestandsveränd.unfertige Erzeugnisse,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen:Bestandsveränd.unfertige Erzeugnisse
4815,Bestandsveränderung unfertige Leistung,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen:Bestandsveränderung unfertige Leistung
4816,Bestandsveränderung Bauaufträge,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen:Bestandsveränderung Bauaufträge
4818,Bestandsveränderung Aufträge in Arbeit,02. Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen:Bestandsveränderung Aufträge in Arbeit
,03. Andere aktivierte Eigenleistungen,03. Andere aktivierte Eigenleistungen
4820,Andere aktivierte Eigenleistungen,03. Andere aktivierte Eigenleistungen:Andere aktivierte Eigenleistungen
4824,Aktivierte Eigenleistungen (den Herstellungskosten zurechenbare Fremdkapitalzinsen),03. Andere aktivierte Eigenleistungen:Aktivierte Eigenleistungen (den Herstellungskosten zurechenbare Fremdkapitalzinsen)
4825,Aktivierte Eigenleistungen zur Erstellung von selbst geschaffenen immateriellen Vermögensgegenständen,03. Andere aktivierte Eigenleistungen:Aktivierte Eigenleistungen zur Erstellung von selbst geschaffenen immateriellen Vermögensgegenständen
,04. Sonstige betriebliche Erträge,04. Sonstige betriebliche Erträge
4830,Sonstige betriebliche Erträge,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge
4832,Sonstige betriebliche Erträge von verbundenen Unternehmen,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige betriebliche Erträge von verbundenen Unternehmen
4833,Andere Nebenerlöse,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Andere Nebenerlöse
4834,Sonstige Erträge betrieblich und regelmäßig 16 % USt,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige Erträge betrieblich und regelmäßig 16 % USt
4835,Sonstige betriebl. regelm. Erträge,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige betriebl. regelm. Erträge
4836,"Sonstige Erträge betriebl., regelm. 19%","04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige Erträge betriebl., regelm. 19%"
4837,Sonstige betriebsfr.regelm. Erträge,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige betriebsfr.regelm. Erträge
4839,Sonstige Erträge unregelmäßig,04. Sonstige betriebliche Erträge:Sonstige betriebliche Erträge:Sonstige Erträge unregelmäßig
4840,Erträge aus der Währungsumrechnung,04. Sonstige betriebliche Erträge:Erträge aus der Währungsumrechnung
4841,"Sonstige Erträge betrieblich und regelmäßig, steuerfrei § 4 Nr. 8 ff. UStG","04. Sonstige betriebliche Erträge:Erträge aus der Währungsumrechnung:Sonstige Erträge betrieblich und regelmäßig, steuerfrei § 4 Nr. 8 ff. UStG"
4842,"Sonstige betriebliche Erträge, steuerfrei z. B. § 4 Nr. 2 bis 7 UStG","04. Sonstige betriebliche Erträge:Erträge aus der Währungsumrechnung:Sonstige betriebliche Erträge, steuerfrei z. B. § 4 Nr. 2 bis 7 UStG"
4843,Erträge Bewertung Finanzmittelfonds,04. Sonstige betriebliche Erträge:Erträge aus der Währungsumrechnung:Erträge Bewertung Finanzmittelfonds
4844,Erlöse Sachanlageverkäufe steuerfrei §4 Nr. 1a,04. Sonstige betriebliche Erträge:Erlöse Sachanlageverkäufe steuerfrei §4 Nr. 1a
4845,Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchgewinn),04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchgewinn)
4847,Erträge aus der Währungsumrechnung (nicht § 256a HGB),04. Sonstige betriebliche Erträge:Erträge aus der Währungsumrechnung (nicht § 256a HGB)
4848,Erlöse Sachanlageverkäufe steuerfrei §4 Nr. 1b,04. Sonstige betriebliche Erträge:Erlöse Sachanlageverkäufe steuerfrei §4 Nr. 1b
4849,Erlöse Sachanlageverkäufe,04. Sonstige betriebliche Erträge:Erlöse Sachanlageverkäufe
4850,Erlöse Verkäufe immat.Vermögensgegenst,04. Sonstige betriebliche Erträge:Erlöse Verkäufe immat.Vermögensgegenst
4851,Erlöse a. Verkäufen Finanzanlagen,04. Sonstige betriebliche Erträge:Erlöse a. Verkäufen Finanzanlagen
4852,Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (bei Buchgewinn),04. Sonstige betriebliche Erträge:Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (bei Buchgewinn)
4855,Anlagenabgänge Sachanlagen,04. Sonstige betriebliche Erträge:Anlagenabgänge Sachanlagen
4856,Anlagenabgänge immaterielle Vermögensgegenstände,04. Sonstige betriebliche Erträge:Anlagenabgänge immaterielle Vermögensgegenstände
4857,Abgänge Finanzanlagen,04. Sonstige betriebliche Erträge:Abgänge Finanzanlagen
4858,Anlagenabgänge Finanzanlagen 100 %/50 % steuerfrei,04. Sonstige betriebliche Erträge:Anlagenabgänge Finanzanlagen 100 %/50 % steuerfrei
